"label","pass","seed","preset","family","family_args","n_states","init_state_terms","parameter_terms","min_state","max_state","max_rel_mass_drift","i_init_prop","i_final_prop","i_first_step_delta","pred_mu_mean","pred_mu_min","pred_mu_max","pred_sigma_mean"
"tb_a","deterministic_loc",123,"tb_a","tb_a","",3,"s_l,l_l,i_l","lambda,c",1.56503137986874e-05,0.999967455863953,5.28059741449322e-07,0.00885393961865476,0.00910684366702024,-0.000511307747096434,0.00878713033231785,1.56503137986874e-05,0.0205015055835247,0.750439095000426
"tb_a","stochastic_seed_123",123,"tb_a","tb_a","",3,"s_l,l_l,i_l","lambda,c",1.56503137986874e-05,0.999967455863953,5.28059741449322e-07,0.00885393961865476,0.00910684366702024,-0.000511307747096434,0.00878713033231785,1.56503137986874e-05,0.0205015055835247,0.750439095000426
"tb_a","stochastic_seed_456",456,"tb_a","tb_a","",3,"s_l,l_l,i_l","lambda,c",1.56503137986874e-05,0.999967455863953,5.28059741449322e-07,0.00885393961865476,0.00910684366702024,-0.000511307747096434,0.00878713033231785,1.56503137986874e-05,0.0205015055835247,0.750439095000426
"tb_b_n2","deterministic_loc",123,"tb_b","tb_b","n=2",5,"s_l,lf1_l,lf2_l,ls_l,i_l","lambda,c,k1,k2,d1,d2",9.30408702970453e-07,0.999990224838257,5.27361211295868e-07,0.00673770572442368,0.00673767501816654,0.0032814483010633,0.00755847923890466,3.60752073902404e-06,0.019795710220933,0.850300709406535
"tb_b_n2","stochastic_seed_123",123,"tb_b","tb_b","n=2",5,"s_l,lf1_l,lf2_l,ls_l,i_l","lambda,c,k1,k2,d1,d2",9.30408702970453e-07,0.999990224838257,5.27361211295868e-07,0.00673770572442368,0.00673767501816654,0.0032814483010633,0.00755847923890466,3.60752073902404e-06,0.019795710220933,0.850300709406535
"tb_b_n2","stochastic_seed_456",456,"tb_b","tb_b","n=2",5,"s_l,lf1_l,lf2_l,ls_l,i_l","lambda,c,k1,k2,d1,d2",9.30408702970453e-07,0.999990224838257,5.27361211295868e-07,0.00673770572442368,0.00673767501816654,0.0032814483010633,0.00755847923890466,3.60752073902404e-06,0.019795710220933,0.850300709406535
"tb_b_n3","deterministic_loc",123,"tb_b","tb_b","n=3",6,"s_l,lf1_l,lf2_l,lf3_l,ls_l,i_l","lambda,c,k1,k2,k3,d1,d2,d3",5.50090419437765e-07,0.99999326467514,2.00241562671143e-07,0.00692134496226159,0.00694955928571752,-0.000159847598116148,0.0068780416114862,8.37238872009038e-07,0.016244675964117,0.727504973610242
"tb_b_n3","stochastic_seed_123",123,"tb_b","tb_b","n=3",6,"s_l,lf1_l,lf2_l,lf3_l,ls_l,i_l","lambda,c,k1,k2,k3,d1,d2,d3",5.50090419437765e-07,0.99999326467514,2.00241562671143e-07,0.00692134496226159,0.00694955928571752,-0.000159847598116148,0.0068780416114862,8.37238872009038e-07,0.016244675964117,0.727504973610242
"tb_b_n3","stochastic_seed_456",456,"tb_b","tb_b","n=3",6,"s_l,lf1_l,lf2_l,lf3_l,ls_l,i_l","lambda,c,k1,k2,k3,d1,d2,d3",5.50090419437765e-07,0.99999326467514,2.00241562671143e-07,0.00692134496226159,0.00694955928571752,-0.000159847598116148,0.0068780416114862,8.37238872009038e-07,0.016244675964117,0.727504973610242
"tb_b_n5","deterministic_loc",123,"tb_b","tb_b","n=5",8,"s_l,lf1_l,lf2_l,lf3_l,lf4_l,lf5_l,ls_l,i_l","lambda,c,k1,k2,k3,k4,k5,d1,d2,d3,d4,d5",1.30696253108908e-06,0.999972105026245,6.93382788398701e-07,0.0067699391338705,0.00676816067063356,9.61962611670563e-05,0.00679358230301356,4.18208037444856e-06,0.0161481909453869,0.874833737810453
"tb_b_n5","stochastic_seed_123",123,"tb_b","tb_b","n=5",8,"s_l,lf1_l,lf2_l,lf3_l,lf4_l,lf5_l,ls_l,i_l","lambda,c,k1,k2,k3,k4,k5,d1,d2,d3,d4,d5",1.30696253108908e-06,0.999972105026245,6.93382788398701e-07,0.0067699391338705,0.00676816067063356,9.61962611670563e-05,0.00679358230301356,4.18208037444856e-06,0.0161481909453869,0.874833737810453
"tb_b_n5","stochastic_seed_456",456,"tb_b","tb_b","n=5",8,"s_l,lf1_l,lf2_l,lf3_l,lf4_l,lf5_l,ls_l,i_l","lambda,c,k1,k2,k3,k4,k5,d1,d2,d3,d4,d5",1.30696253108908e-06,0.999972105026245,6.93382788398701e-07,0.0067699391338705,0.00676816067063356,9.61962611670563e-05,0.00679358230301356,4.18208037444856e-06,0.0161481909453869,0.874833737810453
"tb_c","deterministic_loc",123,"tb_c","tb_c","",4,"s_l,lf_l,ls_l,i_l","lambda,d,e,c",2.73536279564723e-05,0.999861896038055,4.89875713711837e-07,0.00769916339307073,0.00782329843595767,0.000163386747800461,0.00776903176908187,7.24141573300585e-05,0.0182304289191961,1.29896349708239
"tb_c","stochastic_seed_123",123,"tb_c","tb_c","",4,"s_l,lf_l,ls_l,i_l","lambda,d,e,c",2.73536279564723e-05,0.999861896038055,4.89875713711837e-07,0.00769916339307073,0.00782329843595767,0.000163386747800461,0.00776903176908187,7.24141573300585e-05,0.0182304289191961,1.29896349708239
