"label","pass","seed","state","init_prop_mean","final_prop_mean","first_step_delta_prop_mean"
"tb_a","deterministic_loc",123,"s_l",0.925990707454162,0.925663402381354,0.000718370701029758
"tb_a","deterministic_loc",123,"l_l",0.0651553529271834,0.065229753951626,-0.00020706295393332
"tb_a","deterministic_loc",123,"i_l",0.00885393961865476,0.00910684366702024,-0.000511307747096434
"tb_a","stochastic_seed_123",123,"s_l",0.925990707454162,0.925663402381354,0.000718370701029758
"tb_a","stochastic_seed_123",123,"l_l",0.0651553529271834,0.065229753951626,-0.00020706295393332
"tb_a","stochastic_seed_123",123,"i_l",0.00885393961865476,0.00910684366702024,-0.000511307747096434
"tb_a","stochastic_seed_456",456,"s_l",0.925990707454162,0.925663402381354,0.000718370701029758
"tb_a","stochastic_seed_456",456,"l_l",0.0651553529271834,0.065229753951626,-0.00020706295393332
"tb_a","stochastic_seed_456",456,"i_l",0.00885393961865476,0.00910684366702024,-0.000511307747096434
"tb_b_n2","deterministic_loc",123,"s_l",0.926729462505413,0.926730074149499,-0.0099646733622442
"tb_b_n2","deterministic_loc",123,"lf1_l",0.0579126730991401,0.0579125213653378,0.00123660357742047
"tb_b_n2","deterministic_loc",123,"lf2_l",0.00775086750318974,0.00775090186052681,0.00297342078431736
"tb_b_n2","deterministic_loc",123,"ls_l",0.00086929116783318,0.000868827606469469,0.00247320069944307
"tb_b_n2","deterministic_loc",123,"i_l",0.00673770572442368,0.00673767501816654,0.0032814483010633
"tb_b_n2","stochastic_seed_123",123,"s_l",0.926729462505413,0.926730074149499,-0.0099646733622442
"tb_b_n2","stochastic_seed_123",123,"lf1_l",0.0579126730991401,0.0579125213653378,0.00123660357742047
"tb_b_n2","stochastic_seed_123",123,"lf2_l",0.00775086750318974,0.00775090186052681,0.00297342078431736
"tb_b_n2","stochastic_seed_123",123,"ls_l",0.00086929116783318,0.000868827606469469,0.00247320069944307
"tb_b_n2","stochastic_seed_123",123,"i_l",0.00673770572442368,0.00673767501816654,0.0032814483010633
"tb_b_n2","stochastic_seed_456",456,"s_l",0.926729462505413,0.926730074149499,-0.0099646733622442
"tb_b_n2","stochastic_seed_456",456,"lf1_l",0.0579126730991401,0.0579125213653378,0.00123660357742047
"tb_b_n2","stochastic_seed_456",456,"lf2_l",0.00775086750318974,0.00775090186052681,0.00297342078431736
"tb_b_n2","stochastic_seed_456",456,"ls_l",0.00086929116783318,0.000868827606469469,0.00247320069944307
"tb_b_n2","stochastic_seed_456",456,"i_l",0.00673770572442368,0.00673767501816654,0.0032814483010633
"tb_b_n3","deterministic_loc",123,"s_l",0.926145115901278,0.926060095656364,0.000587829472858736
"tb_b_n3","deterministic_loc",123,"lf1_l",0.0580001386920255,0.0580218265449007,-8.57131371834108e-05
"tb_b_n3","deterministic_loc",123,"lf2_l",0.00782543151082659,0.00782453410404053,-7.6868335477585e-05
"tb_b_n3","deterministic_loc",123,"lf3_l",0.000893664409605592,0.000915790617343645,-0.000119953459507688
"tb_b_n3","deterministic_loc",123,"ls_l",0.000214304524003064,0.000228193791633928,-0.000145446942573922
"tb_b_n3","deterministic_loc",123,"i_l",0.00692134496226159,0.00694955928571752,-0.000159847598116148
